1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0B000000226C4521
Is Mission Active?  true
Mission Start:  Thu Jun 28 11:40:00 AEST 2018
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  4751
Total Samples:  4751
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/28/18, 11:40:00 AM,C,23
6/28/18, 11:50:00 AM,C,22.5
6/28/18, 12:00:00 PM,C,22.5
6/28/18, 12:10:00 PM,C,22.5
6/28/18, 12:20:00 PM,C,22.5
6/28/18, 12:30:00 PM,C,23
6/28/18, 12:40:00 PM,C,23
6/28/18, 12:50:00 PM,C,23
6/28/18, 1:00:00 PM,C,22
6/28/18, 1:10:00 PM,C,22
6/28/18, 1:20:00 PM,C,24.5
6/28/18, 1:30:00 PM,C,23
6/28/18, 1:40:00 PM,C,22.5
6/28/18, 1:50:00 PM,C,22.5
6/28/18, 2:00:00 PM,C,22.5
6/28/18, 2:10:00 PM,C,22.5
6/28/18, 2:20:00 PM,C,22.5
6/28/18, 2:30:00 PM,C,22
6/28/18, 2:40:00 PM,C,16.5
6/28/18, 2:50:00 PM,C,16
6/28/18, 3:00:00 PM,C,16
6/28/18, 3:10:00 PM,C,16
6/28/18, 3:20:00 PM,C,16
6/28/18, 3:30:00 PM,C,16
6/28/18, 3:40:00 PM,C,16
6/28/18, 3:50:00 PM,C,16
6/28/18, 4:00:00 PM,C,16
6/28/18, 4:10:00 PM,C,16.5
6/28/18, 4:20:00 PM,C,16.5
6/28/18, 4:30:00 PM,C,16.5
6/28/18, 4:40:00 PM,C,16.5
6/28/18, 4:50:00 PM,C,16.5
6/28/18, 5:00:00 PM,C,16.5
6/28/18, 5:10:00 PM,C,16.5
6/28/18, 5:20:00 PM,C,16.5
6/28/18, 5:30:00 PM,C,16.5
6/28/18, 5:40:00 PM,C,17
6/28/18, 5:50:00 PM,C,20
6/28/18, 6:00:00 PM,C,20.5
6/28/18, 6:10:00 PM,C,20
6/28/18, 6:20:00 PM,C,20
6/28/18, 6:30:00 PM,C,20
6/28/18, 6:40:00 PM,C,20
6/28/18, 6:50:00 PM,C,20
6/28/18, 7:00:00 PM,C,20
