1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: B00000002B23B121
Is Mission Active?  true
Mission Start:  Thu Jun 28 11:42:00 AEST 2018
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  4749
Total Samples:  4749
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/28/18, 11:42:00 AM,C,24
6/28/18, 11:52:00 AM,C,23.5
6/28/18, 12:02:00 PM,C,23.5
6/28/18, 12:12:00 PM,C,23.5
6/28/18, 12:22:00 PM,C,23.5
6/28/18, 12:32:00 PM,C,24
6/28/18, 12:42:00 PM,C,24
6/28/18, 12:52:00 PM,C,23.5
6/28/18, 1:02:00 PM,C,23
6/28/18, 1:12:00 PM,C,23
6/28/18, 1:22:00 PM,C,25
6/28/18, 1:32:00 PM,C,24
6/28/18, 1:42:00 PM,C,23.5
6/28/18, 1:52:00 PM,C,23.5
6/28/18, 2:02:00 PM,C,23.5
6/28/18, 2:12:00 PM,C,23.5
6/28/18, 2:22:00 PM,C,23.5
6/28/18, 2:32:00 PM,C,20
6/28/18, 2:42:00 PM,C,17
6/28/18, 2:52:00 PM,C,17
6/28/18, 3:02:00 PM,C,17
6/28/18, 3:12:00 PM,C,17
6/28/18, 3:22:00 PM,C,17
6/28/18, 3:32:00 PM,C,17
6/28/18, 3:42:00 PM,C,17
6/28/18, 3:52:00 PM,C,17
6/28/18, 4:02:00 PM,C,17
6/28/18, 4:12:00 PM,C,17
6/28/18, 4:22:00 PM,C,17
6/28/18, 4:32:00 PM,C,17
6/28/18, 4:42:00 PM,C,17
6/28/18, 4:52:00 PM,C,17
6/28/18, 5:02:00 PM,C,17
6/28/18, 5:12:00 PM,C,17
6/28/18, 5:22:00 PM,C,17
6/28/18, 5:32:00 PM,C,17
6/28/18, 5:42:00 PM,C,21
6/28/18, 5:52:00 PM,C,22
